year,round,pick_in_round,overall_pick,team,player,keeper,position,position_source
2018,12,1,133,The Big Gronkowski,Matt Bryant,False,K,Weekly Lineup
2018,12,2,134,Pop Lockett Drop it,Jake Elliott,False,K,Weekly Lineup
2018,12,3,135,malle_dips_pouches,Matt Prater,False,K,Weekly Lineup
2018,12,4,136,Voldemort,C.J. Anderson,False,RB,NFLverse Exact
2018,12,5,137,ThreatLevelMidnight,Broncos,False,DEF,Defense
2018,12,6,138,Joe Mantegna,O.J. Howard,False,TE,Weekly Lineup
2018,12,7,139,Ginger FC,Steelers,False,DEF,Defense
2018,12,8,140,Dillon Panthers,Daniel Carlson,False,K,Weekly Lineup
2018,12,9,141,Big Sack Jack,Mike Williams,False,WR,NFLverse Exact
2018,12,10,142,Malle ❤️ 🐸,Harrison Butker,False,K,Weekly Lineup
2018,12,11,143,Post Mahomes,Kenny Golladay,False,WR,Weekly Lineup
2018,12,12,144,Uncle Rico,Nick Chubb,False,RB,Weekly Lineup
2018,13,1,145,Uncle Rico,Blake Bortles,False,QB,Weekly Lineup
2018,13,2,146,Post Mahomes,Ravens,False,DEF,Defense
2018,13,3,147,Malle ❤️ 🐸,Saints,False,DEF,Defense
2018,13,4,148,Big Sack Jack,LeGarrette Blount,False,RB,NFLverse Exact
2018,13,5,149,Dillon Panthers,Tyler Lockett,False,WR,Weekly Lineup
2018,13,6,150,Ginger FC,DJ Moore,False,WR,NFLverse Exact
2018,13,7,151,Joe Mantegna,Keelan Cole Sr.,False,WR,Weekly Lineup
2018,13,8,152,ThreatLevelMidnight,Kelvin Benjamin,False,WR,NFLverse Exact
2018,13,9,153,Voldemort,Josh Doctson,False,WR,NFLverse Exact
2018,13,10,154,malle_dips_pouches,Randall Cobb,False,WR,Weekly Lineup
2018,13,11,155,Pop Lockett Drop it,Danny Amendola,False,WR,NFLverse Exact
2018,13,12,156,The Big Gronkowski,Tyrell Williams,False,WR,NFLverse Exact
2018,14,1,157,The Big Gronkowski,Corey Clement,False,RB,NFLverse Exact
2018,14,2,158,Pop Lockett Drop it,James White,False,RB,Weekly Lineup
2018,14,3,159,malle_dips_pouches,Tyler Eifert,False,TE,NFLverse Exact
2018,14,4,160,Voldemort,Wil Lutz,False,K,Weekly Lineup
2018,14,5,161,ThreatLevelMidnight,Ben Watson,False,TE,Weekly Lineup
2018,14,6,162,Joe Mantegna,Bears,False,DEF,Defense
2018,14,7,163,Ginger FC,DeVante Parker,False,WR,NFLverse Exact
