table_index,row_index,cell_index,tag,class,data_pos,text
2,5,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,BN
2,5,6,TD,Alt Hidden Hidden,,BN
2,5,7,TD,Ta-end Fw-b Nowrap Va-top,,0.00
2,5,8,TD,Alt Pend-med Ta-end F-shade Va-top,,6.88
2,5,9,TD,Last Ta-start,,DeVante Parker Final W 17-14 @ Pit
2,5,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,
2,6,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,14 Rush Yds
2,6,1,TD,Ta-start,,Taysom Hill Final L 10-20 vs TB
2,6,2,TD,Alt Ta-end F-shade Va-top,,7.62
2,6,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,1.40
2,6,4,TD,Alt Bg-shade Hidden,,BN
2,6,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,BN
2,6,6,TD,Alt Hidden Hidden,,BN
2,6,7,TD,Ta-end Fw-b Nowrap Va-top,,9.80
2,6,8,TD,Alt Pend-med Ta-end F-shade Va-top,,19.28
2,6,9,TD,Last Ta-start,,Justin Fields Final W 27-24 vs LAC
2,6,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,"1 Rush TD, 70 Pass Yds, 20 Rush Yds"
2,7,0,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,
2,7,1,TD,Ta-start,,
2,7,2,TD,Alt Ta-end F-shade Va-top,,
2,7,3,TD,Pend-lg Ta-end Fw-b Nowrap Va-top,,35.70
2,7,4,TD,Alt Bg-shade Hidden,,Total
2,7,5,TD,Va-top Bg-shade F-shade Bdrstart Bdrend Ta-c,,TOTAL
2,7,6,TD,Alt Hidden Hidden,,Total
2,7,7,TD,Ta-end Fw-b Nowrap Va-top,,43.70
2,7,8,TD,Alt Pend-med Ta-end F-shade Va-top,,
2,7,9,TD,Last Ta-start,,
2,7,10,TD,Alt Ta-start Pend-sm Fz-xxs Px-lg,,
3,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
3,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
3,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
3,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
3,1,0,TD,ysf-stat-name P-sm,,Passing Yards
3,1,1,TD,Ta-end P-sm,,235
3,1,2,TD,Ta-end P-sm,,0.04
3,1,3,TD,Ta-end P-sm,,9.40
3,2,0,TD,ysf-stat-name P-sm,,Passing Touchdowns
3,2,1,TD,Ta-end P-sm,,2
3,2,2,TD,Ta-end P-sm,,6.00
3,2,3,TD,Ta-end P-sm,,12.00
3,3,0,TD,ysf-stat-name P-sm,,Rushing Yards
3,3,1,TD,Ta-end P-sm,,-1
3,3,2,TD,Ta-end P-sm,,0.10
3,3,3,TD,Ta-end P-sm,,-0.10
3,4,0,TD,P-sm,,
3,4,1,TD,P-sm,,
3,4,2,TD,P-sm,,
3,4,3,TD,P-sm,,
3,5,0,TH,P-sm Fz-med Fw-b,,Total
3,5,1,TH,P-sm,,
3,5,2,TH,P-sm,,
3,5,3,TH,P-sm Fz-med Fw-b Ta-end,,21.30
4,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
4,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
4,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
4,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
4,1,0,TD,ysf-stat-name P-sm,,Rushing Yards
4,1,1,TD,Ta-end P-sm,,4
4,1,2,TD,Ta-end P-sm,,0.10
4,1,3,TD,Ta-end P-sm,,0.40
4,2,0,TD,ysf-stat-name P-sm,,Receptions
4,2,1,TD,Ta-end P-sm,,5
4,2,2,TD,Ta-end P-sm,,0.50
4,2,3,TD,Ta-end P-sm,,2.50
4,3,0,TD,ysf-stat-name P-sm,,Receiving Yards
4,3,1,TD,Ta-end P-sm,,54
4,3,2,TD,Ta-end P-sm,,0.10
4,3,3,TD,Ta-end P-sm,,5.40
4,4,0,TD,P-sm,,
4,4,1,TD,P-sm,,
4,4,2,TD,P-sm,,
4,4,3,TD,P-sm,,
4,5,0,TH,P-sm Fz-med Fw-b,,Total
4,5,1,TH,P-sm,,
4,5,2,TH,P-sm,,
4,5,3,TH,P-sm Fz-med Fw-b Ta-end,,8.30
5,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
5,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
5,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
5,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
5,1,0,TD,ysf-stat-name P-sm,,Receptions
5,1,1,TD,Ta-end P-sm,,5
5,1,2,TD,Ta-end P-sm,,0.50
5,1,3,TD,Ta-end P-sm,,2.50
5,2,0,TD,ysf-stat-name P-sm,,Receiving Yards
5,2,1,TD,Ta-end P-sm,,63
5,2,2,TD,Ta-end P-sm,,0.10
5,2,3,TD,Ta-end P-sm,,6.30
5,3,0,TD,P-sm,,
5,3,1,TD,P-sm,,
5,3,2,TD,P-sm,,
5,3,3,TD,P-sm,,
5,4,0,TH,P-sm Fz-med Fw-b,,Total
5,4,1,TH,P-sm,,
5,4,2,TH,P-sm,,
5,4,3,TH,P-sm Fz-med Fw-b Ta-end,,8.80
6,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
6,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
6,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
6,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
6,1,0,TD,ysf-stat-name P-sm,,Rushing Yards
6,1,1,TD,Ta-end P-sm,,72
6,1,2,TD,Ta-end P-sm,,0.10
6,1,3,TD,Ta-end P-sm,,7.20
6,2,0,TD,ysf-stat-name P-sm,,Receptions
6,2,1,TD,Ta-end P-sm,,3
6,2,2,TD,Ta-end P-sm,,0.50
6,2,3,TD,Ta-end P-sm,,1.50
6,3,0,TD,ysf-stat-name P-sm,,Receiving Yards
6,3,1,TD,Ta-end P-sm,,16
6,3,2,TD,Ta-end P-sm,,0.10
6,3,3,TD,Ta-end P-sm,,1.60
6,4,0,TD,P-sm,,
6,4,1,TD,P-sm,,
6,4,2,TD,P-sm,,
6,4,3,TD,P-sm,,
6,5,0,TH,P-sm Fz-med Fw-b,,Total
6,5,1,TH,P-sm,,
6,5,2,TH,P-sm,,
6,5,3,TH,P-sm Fz-med Fw-b Ta-end,,10.30
7,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
7,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
7,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
7,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
7,1,0,TD,ysf-stat-name P-sm,,Rushing Yards
7,1,1,TD,Ta-end P-sm,,87
7,1,2,TD,Ta-end P-sm,,0.10
7,1,3,TD,Ta-end P-sm,,8.70
7,2,0,TD,ysf-stat-name P-sm,,Rushing Touchdowns
7,2,1,TD,Ta-end P-sm,,3
7,2,2,TD,Ta-end P-sm,,6.00
7,2,3,TD,Ta-end P-sm,,18.00
7,3,0,TD,ysf-stat-name P-sm,,Receptions
7,3,1,TD,Ta-end P-sm,,3
7,3,2,TD,Ta-end P-sm,,0.50
7,3,3,TD,Ta-end P-sm,,1.50
7,4,0,TD,ysf-stat-name P-sm,,Receiving Yards
7,4,1,TD,Ta-end P-sm,,26
7,4,2,TD,Ta-end P-sm,,0.10
7,4,3,TD,Ta-end P-sm,,2.60
7,5,0,TD,P-sm,,
7,5,1,TD,P-sm,,
7,5,2,TD,P-sm,,
7,5,3,TD,P-sm,,
7,6,0,TH,P-sm Fz-med Fw-b,,Total
7,6,1,TH,P-sm,,
7,6,2,TH,P-sm,,
7,6,3,TH,P-sm Fz-med Fw-b Ta-end,,30.80
8,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
8,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
8,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
8,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
8,1,0,TD,ysf-stat-name P-sm,,Receptions
8,1,1,TD,Ta-end P-sm,,2
8,1,2,TD,Ta-end P-sm,,0.50
8,1,3,TD,Ta-end P-sm,,1.00
8,2,0,TD,ysf-stat-name P-sm,,Receiving Yards
8,2,1,TD,Ta-end P-sm,,19
8,2,2,TD,Ta-end P-sm,,0.10
8,2,3,TD,Ta-end P-sm,,1.90
8,3,0,TD,P-sm,,
8,3,1,TD,P-sm,,
8,3,2,TD,P-sm,,
8,3,3,TD,P-sm,,
8,4,0,TH,P-sm Fz-med Fw-b,,Total
8,4,1,TH,P-sm,,
8,4,2,TH,P-sm,,
8,4,3,TH,P-sm Fz-med Fw-b Ta-end,,2.90
9,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
9,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
9,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
9,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
9,1,0,TD,ysf-stat-name P-sm,,Rushing Yards
9,1,1,TD,Ta-end P-sm,,41
9,1,2,TD,Ta-end P-sm,,0.10
9,1,3,TD,Ta-end P-sm,,4.10
9,2,0,TD,P-sm,,
9,2,1,TD,P-sm,,
9,2,2,TD,P-sm,,
9,2,3,TD,P-sm,,
9,3,0,TH,P-sm Fz-med Fw-b,,Total
9,3,1,TH,P-sm,,
9,3,2,TH,P-sm,,
9,3,3,TH,P-sm Fz-med Fw-b Ta-end,,4.10
10,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
10,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
10,0,2,TH,Ta-end Nowrap P-sm Fw-b,,Pts Per
10,0,3,TH,Ta-end Nowrap P-sm Fw-b,,Fan Pts
10,1,0,TD,ysf-stat-name P-sm,,Field Goals 30-39 Yards
10,1,1,TD,Ta-end P-sm,,1
10,1,2,TD,Ta-end P-sm,,3.00
10,1,3,TD,Ta-end P-sm,,3.00
10,2,0,TD,ysf-stat-name P-sm,,Point After Attempt Made
10,2,1,TD,Ta-end P-sm,,3
10,2,2,TD,Ta-end P-sm,,1.00
10,2,3,TD,Ta-end P-sm,,3.00
10,3,0,TD,P-sm,,
10,3,1,TD,P-sm,,
10,3,2,TD,P-sm,,
10,3,3,TD,P-sm,,
10,4,0,TH,P-sm Fz-med Fw-b,,Total
10,4,1,TH,P-sm,,
10,4,2,TH,P-sm,,
10,4,3,TH,P-sm Fz-med Fw-b Ta-end,,6.00
11,0,0,TH,ysf-stat-name P-sm Fw-b,,Stat
11,0,1,TH,Ta-end Nowrap P-sm Fw-b,,
