year,player,final_owner,ownership_confidence,ownership_evidence,snapshot_owner,snapshot_week
2017,Eddie Lacy,Pop Lockett Drop it,Snapshot Only,Final regular-season roster snapshot (Week 13),Pop Lockett Drop it,13.0
2017,Giovani Bernard,Pop Lockett Drop it,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Isaiah Crowell,Pop Lockett Drop it,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight,ThreatLevelMidnight,13.0
2017,Jamaal Charles,Pop Lockett Drop it,Snapshot Only,Final regular-season roster snapshot (Week 13),Pop Lockett Drop it,13.0
2017,Jarvis Landry,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Justin Tucker,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Le'Veon Bell,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Matt Ryan,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Seahawks,Pop Lockett Drop it,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Seahawks - DEF,Pop Lockett Drop it,Snapshot Only,Final regular-season roster snapshot (Week 13),Pop Lockett Drop it,13.0
2017,Stephen Anderson,Pop Lockett Drop it,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Sterling Shepard,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,T.Y. Hilton,Pop Lockett Drop it,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Pop Lockett Drop it,13.0
2017,Aaron Rodgers,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Bilal Powell,Post Mahomes,Snapshot Only,Final regular-season roster snapshot (Week 13),Post Mahomes,13.0
2017,Broncos - DEF,Post Mahomes,Snapshot Only,Final regular-season roster snapshot (Week 13),Post Mahomes,13.0
2017,David Johnson,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Demaryius Thomas,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Deshaun Watson,Post Mahomes,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Devin Funchess,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Dion Lewis,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Doug Baldwin,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Drew Brees,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Jimmy Graham,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Kenyan Drake,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Kerwynn Williams,Post Mahomes,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Larry Fitzgerald,Post Mahomes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Ginger FC,Ginger FC,13.0
2017,Leonard Fournette,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,Martavis Bryant,Post Mahomes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=ThreatLevelMidnight,ThreatLevelMidnight,13.0
2017,Orleans Darkwa,Post Mahomes,Snapshot Only,Final regular-season roster snapshot (Week 13),Post Mahomes,13.0
2017,Panthers,Post Mahomes,Transaction Reconstruction,Draft + transactions; snapshot owner=none,,
2017,Stefon Diggs,Post Mahomes,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Big Sack Jack,Big Sack Jack,13.0
2017,Wil Lutz,Post Mahomes,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,Post Mahomes,13.0
2017,A.J. Green,The Big Gronkowski,Transaction Primary — Snapshot Differs,Draft + transactions; snapshot owner=Voldemort,Voldemort,13.0
2017,Andy Dalton,The Big Gronkowski,Verified Agreement,Draft + transactions agrees with Week 13 roster snapshot,The Big Gronkowski,13.0
