year,team,player,round_kept_in,pick_in_round,overall_pick,keeper_number,keeper_status,keeper_limit_status,acquisition_basis,waiver_baseline,waiver_acquisition_type,waiver_acquisition_team,waiver_acquisition_date,previous_team,previous_year_round,previous_was_keeper,original_draft_year,original_draft_round,original_draft_team,expected_round,round_matches_rule,known_round_exception,rule_status,next_keeper_round,next_season_status
2024,Malle ❤️ 🐸,Adam Thielen,10,1,109,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,13.0,False,2023.0,13.0,Malle ❤️ 🐸,12,False,True,Historical Round Exception,9.0,Eligible — Round 9
2024,Patty Primetimes,Anthony Richardson Sr.,10,10,118,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Patty Primetimes,11.0,False,2023.0,11.0,Patty Primetimes,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2024,Pop Lockett Drop it,C.J. Stroud,10,7,115,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Free Agent,Pop Lockett Drop it,"Sep 21, 3:09 pm",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2024,Post Mahomes,Kyren Williams,10,2,110,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,Post Mahomes,"Sep 13, 3:04 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2024,ThreatLevelMidnight,Sam LaPorta,10,9,117,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Free Agent,ThreatLevelMidnight,"Sep 16, 8:59 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2024,Uncle Rico,Tank Dell,10,4,112,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,Uncle Rico,"Sep 20, 3:01 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2024,Voldemort,Puka Nacua,10,5,113,1,1st-Year Keeper,Within Keeper Limit,Waiver / Free Agent,True,Waiver,Voldemort,"Sep 13, 3:04 am",,,False,,,,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2025,Buttermilk Puuump,Amon-Ra St. Brown,2,4,16,3,Keeper Limit Exception,Exceeded Normal Keeper Limit,Prior Keeper,False,,,,Buttermilk Puuump,3.0,True,2022.0,5.0,Big Sack Jack,2,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2025,Ginger FC,De'Von Achane,9,8,104,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Ginger FC,10.0,True,2023.0,11.0,Buttermilk Puuump,9,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2025,Joe Mantegna,Malik Nabers,3,1,25,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,4.0,False,2024.0,4.0,Malle ❤️ 🐸,3,True,False,Matches Keeper Rule,2.0,Eligible — Round 2
2025,Malle ❤️ 🐸,Rashid Shaheed,10,1,109,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Malle ❤️ 🐸,11.0,False,2024.0,11.0,Malle ❤️ 🐸,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2025,Patty Primetimes,Ladd McConkey,8,11,95,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Patty Primetimes,9.0,False,2024.0,9.0,Patty Primetimes,8,True,False,Matches Keeper Rule,7.0,Eligible — Round 7
2025,Pop Lockett Drop it,Trey McBride,4,8,44,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Pop Lockett Drop it,5.0,False,2024.0,5.0,Pop Lockett Drop it,4,True,False,Matches Keeper Rule,3.0,Eligible — Round 3
2025,Post Mahomes,Kyren Williams,9,4,100,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Post Mahomes,10.0,True,,,,9,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2025,ThreatLevelMidnight,Xavier Worthy,6,10,70,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Patty Primetimes,7.0,False,2024.0,7.0,Patty Primetimes,6,True,False,Matches Keeper Rule,5.0,Eligible — Round 5
2025,Uncle Rico,Zach Charbonnet,10,6,114,1,1st-Year Keeper,Within Keeper Limit,Prior Draft,False,,,,Uncle Rico,11.0,False,2024.0,11.0,Uncle Rico,10,True,False,Matches Keeper Rule,9.0,Eligible — Round 9
2025,Voldemort,Puka Nacua,9,6,102,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,Voldemort,10.0,True,,,,9,True,False,Matches Keeper Rule,,Must Return to Draft Pool
2025,malle_dips_pouches,Sam LaPorta,9,10,106,2,2nd-Year Keeper — Final Year,Final Eligible Keeper Year,Prior Keeper,False,,,,ThreatLevelMidnight,10.0,True,,,,9,True,False,Matches Keeper Rule,,Must Return to Draft Pool
