player,player_position,missed_start_count,total_fantasy_points,avg_fantasy_points,max_fantasy_points
Gardner Minshew II,QB,2,41.34,20.67,20.72
Leonard Fournette,RB,2,38.3,19.15,25.6
Cam Newton,QB,2,37.92,18.96,31.96
Joe Flacco,QB,2,36.64,18.32,23.56
Robert Woods,WR,2,35.599999999999994,17.799999999999997,19.2
Russell Gage Jr.,WR,2,35.2,17.6,18.7
Joshua Palmer,WR,2,33.9,16.95,26.6
Dalvin Cook,RB,2,32.2,16.1,21.3
Wayne Gallman,RB,2,31.2,15.6,18.5
Greg Olsen,TE,2,31.1,15.55,19.5
Chargers,DEF,2,31.0,15.5,19.0
Boston Scott,RB,2,30.6,15.3,16.7
Kyren Williams,RB,2,29.9,14.95,25.0
Keke Coutee,WR,2,29.400000000000002,14.700000000000001,18.1
Javonte Williams,RB,2,28.4,14.2,16.7
Bhayshul Tuten,RB,2,27.6,13.8,14.4
Puka Nacua,WR,2,27.3,13.65,22.6
Ty'Son Williams,RB,2,27.2,13.6,16.9
Steelers,DEF,2,27.0,13.5,17.0
Van Jefferson,WR,2,26.9,13.45,13.8
Deonte Harty,WR,2,26.4,13.2,17.9
Golden Tate,WR,2,25.5,12.75,16.2
Ricky Pearsall,WR,2,25.4,12.7,15.7
David Njoku,TE,2,24.200000000000003,12.100000000000001,18.6
Michael Badgley,K,2,24.0,12.0,15.0
Greg Ward,WR,2,23.299999999999997,11.649999999999999,12.7
Samaje Perine,RB,2,23.200000000000003,11.600000000000001,16.3
Alvin Kamara,RB,2,23.1,11.55,13.0
Benny Snell Jr.,RB,2,23.0,11.5,12.7
Jonathan Taylor,RB,2,21.8,10.9,13.4
Trey Benson,RB,2,21.7,10.85,12.0
Isiah Pacheco,RB,2,21.3,10.65,15.1
Ty Chandler,RB,2,21.2,10.6,13.0
Salvon Ahmed,RB,2,20.8,10.4,10.9
Kadarius Toney,WR,2,20.6,10.3,17.0
Doug Baldwin,WR,2,20.299999999999997,10.149999999999999,11.2
Alex Collins,RB,2,20.200000000000003,10.100000000000001,10.3
David Johnson,RB,2,20.1,10.05,14.4
Doug Martin,RB,2,19.9,9.95,10.7
Jalen Richard,RB,2,19.9,9.95,10.6
Chris Rodriguez Jr.,RB,2,19.7,9.85,12.5
Bills,DEF,2,19.0,9.5,11.0
Tank Bigsby,RB,2,17.8,8.9,10.8
Justice Hill,RB,2,17.3,8.65,10.5
Parris Campbell,WR,2,17.299999999999997,8.649999999999999,9.2
Derrius Guice,RB,2,16.7,8.35,12.9
Nick Chubb,RB,2,16.7,8.35,14.2
Skyy Moore,WR,2,16.6,8.3,14.5
Jason Witten,TE,2,15.5,7.75,12.2
Foster Moreau,TE,2,14.5,7.25,10.8
Oronde Gadsden,TE,2,14.4,7.2,9.3
Terrance Ferguson,TE,2,14.4,7.2,14.4
Le'Veon Bell,RB,2,14.3,7.15,10.1
Joe Mixon,RB,2,13.9,6.95,13.9
D'Ernest Johnson,RB,2,13.5,6.75,9.4
Paul Richardson,WR,2,13.4,6.7,9.3
Danny Amendola,WR,2,13.100000000000001,6.550000000000001,7.2
Falcons,DEF,2,13.0,6.5,7.0
Jake Ferguson,TE,2,12.5,6.25,12.5
Cameron Meredith,WR,2,12.2,6.1,7.1
Kalen Ballage,RB,2,12.2,6.1,7.7
Brenton Strange,TE,2,12.0,6.0,9.3
Dalton Kincaid,TE,2,11.5,5.75,6.8
Harold Fannin Jr.,TE,2,10.8,5.4,7.3
Jeff Heuerman,TE,2,6.4,3.2,4.4
De'Von Achane,RB,1,49.3,49.3,49.3
Lamar Jackson,QB,1,43.56,43.56,43.56
Mitchell Trubisky,QB,1,42.0,42.0,42.0
Jaxson Dart,QB,1,32.6,32.6,32.6
Jayden Daniels,QB,1,32.06,32.06,32.06
J.J. McCarthy,QB,1,27.22,27.22,27.22
Blake Corum,RB,1,25.6,25.6,25.6
Malcolm Brown,RB,1,24.5,24.5,24.5
Chris Boswell,K,1,24.0,24.0,24.0
Julian Edelman,WR,1,21.9,21.9,21.9
Alex Smith,QB,1,21.8,21.8,21.8
Eno Benjamin,RB,1,21.3,21.3,21.3
Kimani Vidal,RB,1,21.3,21.3,21.3
Cordarrelle Patterson,RB,1,21.1,21.1,21.1
DeeJay Dallas,RB,1,20.3,20.3,20.3
