year,team,actual_wins,actual_losses,actual_ties,games,average_schedule_wins,best_schedule_wins,worst_schedule_wins,schedule_win_std,schedules_tested,actual_win_equivalent,schedule_luck,schedule_range,best_schedule_team,best_schedule_record_wins,worst_schedule_team,worst_schedule_record_wins,schedule_luck_rank,schedule_difficulty_rank
2024,The Big Gronkowski,9.0,5.0,0.0,14,7.5,9.0,6.0,0.9999999999999999,12,9.0,1.5,3.0,Joe Mantegna,9.0,Pop Lockett Drop it,6.0,2,11
2024,ThreatLevelMidnight,9.0,5.0,0.0,14,8.25,12.0,5.0,1.815338686155987,12,9.0,0.75,7.0,Malle ❤️ 🐸,12.0,Voldemort,5.0,5,8
2024,Uncle Rico,6.0,8.0,0.0,14,6.25,8.0,5.0,0.7537783614444091,12,6.0,-0.25,3.0,Malle ❤️ 🐸,8.0,Ginger FC,5.0,7,6
2024,Voldemort,4.0,10.0,0.0,14,6.083333333333333,9.0,3.0,1.9752253419585197,12,4.0,-2.083333333333333,6.0,Malle ❤️ 🐸,9.0,Ginger FC,3.0,12,1
2024,malle_dips_pouches,8.0,6.0,0.0,14,7.083333333333333,8.0,6.0,0.996204919895622,12,8.0,0.916666666666667,2.0,Malle ❤️ 🐸,8.0,Buttermilk Puuump,6.0,3,10
2025,Buttermilk Puuump,4.0,10.0,0.0,14,6.166666666666667,8.0,4.0,1.4034589305344738,12,4.0,-2.166666666666667,4.0,Patty Primetimes,8.0,Buttermilk Puuump,4.0,12,1
2025,Ginger FC,10.0,4.0,0.0,14,8.25,12.0,5.0,2.0943647333651407,12,10.0,1.75,7.0,Post Mahomes,12.0,Malle ❤️ 🐸,5.0,3,10
2025,Joe Mantegna,6.0,8.0,0.0,14,5.833333333333333,8.0,3.0,1.6422453217986943,12,6.0,0.16666666666666696,5.0,Patty Primetimes,8.0,Malle ❤️ 🐸,3.0,4,9
2025,Malle ❤️ 🐸,3.0,11.0,0.0,14,4.166666666666667,6.0,3.0,1.337115846843043,12,3.0,-1.166666666666667,3.0,Patty Primetimes,6.0,Buttermilk Puuump,3.0,11,2
2025,Patty Primetimes,12.0,2.0,0.0,14,9.416666666666666,12.0,7.0,1.3113721705515067,12,12.0,2.583333333333334,5.0,Patty Primetimes,12.0,Malle ❤️ 🐸,7.0,1,12
2025,Pop Lockett Drop it,8.0,6.0,0.0,14,8.333333333333334,10.0,5.0,1.3026778945578592,12,8.0,-0.3333333333333339,5.0,Joe Mantegna,10.0,Malle ❤️ 🐸,5.0,6,5
2025,Post Mahomes,9.0,5.0,0.0,14,9.333333333333334,13.0,6.0,1.825741858350554,12,9.0,-0.3333333333333339,7.0,Patty Primetimes,13.0,Malle ❤️ 🐸,6.0,6,5
2025,The Big Gronkowski,4.0,10.0,0.0,14,5.083333333333333,7.0,3.0,1.164500152881315,12,4.0,-1.083333333333333,4.0,Voldemort,7.0,Malle ❤️ 🐸,3.0,9,4
2025,ThreatLevelMidnight,9.0,5.0,0.0,14,9.333333333333334,12.0,4.0,2.0597146021777486,12,9.0,-0.3333333333333339,8.0,Pop Lockett Drop it,12.0,Malle ❤️ 🐸,4.0,6,5
2025,Uncle Rico,7.0,7.0,0.0,14,8.083333333333334,10.0,5.0,1.5050420310248864,12,7.0,-1.083333333333334,5.0,Patty Primetimes,10.0,Malle ❤️ 🐸,5.0,10,3
2025,Voldemort,6.0,8.0,0.0,14,6.166666666666667,9.0,3.0,1.6422453217986943,12,6.0,-0.16666666666666696,6.0,Patty Primetimes,9.0,Malle ❤️ 🐸,3.0,5,8
2025,malle_dips_pouches,6.0,8.0,0.0,14,3.8333333333333335,6.0,1.0,1.696699112626596,12,6.0,2.1666666666666665,5.0,The Big Gronkowski,6.0,Joe Mantegna,1.0,2,11
