year,team,games,wins,points_for,points_against,losses,win_pct,points_per_game,scoring_rank,win_rank,actual_points,optimal_points,points_left_on_bench,avg_weekly_points_left,avoidable_starts,season_efficiency_pct,efficiency_rank,rated_picks,avg_draft_value,total_draft_value,steals,elite_steals,busts,major_busts,draft_class_rank,meaningful_acquisitions,avg_waiver_value,total_positive_value,good_rate,elite_finds,bust_rate,production_points,waiver_rank,is_champion,scoring_percentile,winning_percentile,efficiency_percentile,bench_management_percentile,draft_percentile,waiver_percentile
2018,ThreatLevelMidnight,13,7.0,1353.82,1336.1399999999999,6.0,0.5384615384615384,104.14,6,4,1353.82,1500.6,146.78,11.29,24,90.22,4,13,-11.023664505592762,-143.3076385727059,0,0,3,1,11,,,,,,,,,False,58.333333333333336,66.66666666666666,75.0,83.33333333333334,16.666666666666664,
2018,Uncle Rico,13,6.0,1258.28,1269.3400000000001,7.0,0.46153846153846156,96.79076923076923,10,7,1258.28,1450.62,192.34,14.8,21,86.74,10,13,-0.8619904606270017,-11.20587598815102,2,0,3,0,7,,,,,,,,,False,25.0,41.66666666666667,25.0,50.0,50.0,
2018,Voldemort,13,7.0,1326.32,1290.02,6.0,0.5384615384615384,102.02461538461537,7,4,1326.32,1507.42,181.1,13.93,27,87.99,6,12,-10.55222067293406,-126.6266480752087,2,0,3,2,10,,,,,,,,,False,50.0,66.66666666666666,58.333333333333336,58.333333333333336,25.0,
2018,malle_dips_pouches,13,11.0,1360.18,1158.34,2.0,0.8461538461538461,104.62923076923077,5,1,1360.18,1561.08,200.9,15.45,25,87.13,8,13,-7.272699019392854,-94.5450872521071,1,0,2,1,9,,,,,,,,,False,66.66666666666666,100.0,41.66666666666667,25.0,33.33333333333333,
2019,Big Sack Jack,13,7.0,1303.94,1300.72,6.0,0.5384615384615384,100.30307692307693,5,5,1303.94,1416.54,112.6,8.66,16,92.05,2,13,-5.23941458875064,-68.11238965375833,0,0,3,0,10,5.0,12.87878787878788,85.98484848484848,40.0,0.0,0.0,131.98000000000002,4.0,False,66.66666666666666,62.5,91.66666666666666,100.0,25.0,75.0
2019,Ginger FC,13,4.0,1181.24,1254.02,9.0,0.3076923076923077,90.86461538461539,8,8,1181.24,1335.72,154.48,11.88,23,88.43,5,12,-1.6254637757155603,-19.505565308586725,1,1,2,0,6,9.0,8.92087542087542,158.46969696969694,44.44444444444444,0.0,11.11111111111111,546.5799999999999,7.0,False,41.66666666666667,29.166666666666668,66.66666666666666,75.0,58.333333333333336,50.0
2019,Joe Mantegna,13,4.0,1203.44,1362.56,9.0,0.3076923076923077,92.5723076923077,7,8,1203.44,1415.76,212.32,16.33,30,85.0,9,11,-1.6303042342555107,-17.933346576810617,1,0,2,0,7,7.0,-1.4112554112554108,89.81818181818181,42.857142857142854,0.0,28.57142857142857,287.98,11.0,False,50.0,29.166666666666668,33.33333333333333,33.33333333333333,50.0,16.666666666666664
2019,Malle ❤️ 🐸,13,4.0,1130.3,1329.96,9.0,0.3076923076923077,86.94615384615385,12,8,1130.3,1338.04,207.74,15.98,30,84.47,10,13,-0.3567603505537081,-4.6378845571982055,2,1,2,1,5,4.0,17.590909090909093,73.54545454545455,25.0,0.0,0.0,178.73999999999998,3.0,False,8.333333333333332,29.166666666666668,25.0,50.0,66.66666666666666,83.33333333333334
2019,Patty Primetimes,13,10.0,1473.08,1208.42,3.0,0.7692307692307693,113.31384615384614,1,2,1473.08,1595.54,122.46,9.42,19,92.32,1,13,3.1894171317818305,41.4624227131638,3,2,3,1,3,8.0,-3.4375000000000004,39.92424242424242,0.0,0.0,12.5,161.06,12.0,False,100.0,87.5,100.0,91.66666666666666,83.33333333333334,8.333333333333332
2019,Pop Lockett Drop it,13,10.0,1361.3,1164.1399999999999,3.0,0.7692307692307693,104.71538461538461,3,2,1361.3,1591.96,230.66,17.74,24,85.51,8,12,12.910541395361491,154.9264967443379,2,1,0,0,1,4.0,35.91287878787879,143.65151515151516,75.0,2.0,0.0,214.38,1.0,False,83.33333333333334,87.5,41.66666666666667,16.666666666666664,100.0,100.0
2019,Post Mahomes,13,8.0,1322.84,1289.78,5.0,0.6153846153846154,101.75692307692307,4,4,1322.84,1481.66,158.82,12.22,21,89.28,3,13,-3.3837781777386207,-43.98911631060207,3,0,2,1,9,8.0,28.4375,241.2878787878788,75.0,2.0,0.0,305.20000000000005,2.0,False,75.0,75.0,83.33333333333334,66.66666666666666,33.33333333333333,91.66666666666666
2019,The Big Gronkowski,13,6.0,1161.42,1268.02,7.0,0.46153846153846156,89.34,10,7,1161.42,1390.04,228.62,17.59,22,83.55,12,13,1.8971207520152984,24.66256977619888,1,0,2,1,4,7.0,11.508658008658008,99.54545454545456,28.57142857142857,0.0,0.0,115.7,5.0,False,25.0,50.0,8.333333333333332,25.0,75.0,66.66666666666666
2019,ThreatLevelMidnight,13,7.0,1275.96,1276.72,6.0,0.5384615384615384,98.15076923076923,6,5,1275.96,1516.48,240.52,18.5,24,84.14,11,13,-10.052991161646656,-130.68888510140656,1,0,4,1,12,13.0,0.1212121212121213,189.86363636363637,23.076923076923077,1.0,23.076923076923077,321.52,10.0,False,58.333333333333336,62.5,16.666666666666664,8.333333333333332,8.333333333333332,25.0
2019,Uncle Rico,13,2.0,1167.28,1317.34,11.0,0.15384615384615385,89.79076923076923,9,12,1167.28,1356.64,189.36,14.57,21,86.04,7,13,-2.545959683223347,-33.09747588190351,1,1,3,1,8,5.0,4.727272727272726,74.31818181818181,40.0,0.0,0.0,139.74,8.0,False,33.33333333333333,8.333333333333332,50.0,58.333333333333336,41.66666666666667,41.66666666666667
2019,Voldemort,13,12.0,1381.38,1018.1,1.0,0.9230769230769231,106.26,2,1,1381.38,1589.42,208.04,16.0,24,86.91,6,12,-6.338479640981672,-76.06175569178006,0,0,3,1,11,9.0,9.358585858585856,164.90909090909088,44.44444444444444,2.0,11.11111111111111,374.9,6.0,True,91.66666666666666,100.0,58.333333333333336,41.66666666666667,16.666666666666664,58.333333333333336
2019,malle_dips_pouches,13,4.0,1144.7,1317.1,9.0,0.3076923076923077,88.05384615384615,11,8,1144.7,1282.6,137.9,10.61,28,89.25,4,13,6.42781119161063,83.56154549093819,2,0,1,0,2,2.0,1.86363636363636,8.499999999999993,0.0,0.0,0.0,64.84,9.0,False,16.666666666666664,29.166666666666668,75.0,83.33333333333334,91.66666666666666,33.33333333333333
2020,Big Sack Jack,13,6.0,1370.7,1360.7,7.0,0.46153846153846156,105.43846153846154,11,7,1370.7,1539.92,169.22,13.02,19,89.01,6,12,-6.781584091494241,-81.37900909793089,0,0,2,0,9,3.0,9.502508361204017,44.56521739130436,33.33333333333333,0.0,0.0,137.5,7.0,False,16.666666666666664,45.83333333333333,58.333333333333336,83.33333333333334,33.33333333333333,50.0
2020,Ginger FC,13,5.0,1457.8,1517.8,8.0,0.38461538461538464,112.13846153846154,4,9,1457.8,1635.5,177.7,13.67,24,89.13,5,13,-9.915638422243417,-128.9032994891644,1,0,4,2,11,9.0,8.643841594608858,113.35776116466651,33.33333333333333,0.0,0.0,299.24,8.0,False,75.0,29.166666666666668,66.66666666666666,58.333333333333336,16.666666666666664,41.66666666666667
2020,Joe Mantegna,13,7.0,1388.14,1429.74,6.0,0.5384615384615384,106.78,10,6,1388.14,1512.22,124.08,9.54,19,91.79,2,12,1.0849783228806913,13.019739874568296,1,0,2,0,3,5.0,1.0800286669851886,53.92857142857143,20.0,1.0,0.0,144.52,9.0,False,25.0,58.333333333333336,91.66666666666666,91.66666666666666,83.33333333333334,33.33333333333333
2020,Malle ❤️ 🐸,13,8.0,1613.8,1498.24,5.0,0.6153846153846154,124.13846153846154,1,3,1613.8,1788.14,174.34,13.41,20,90.25,3,12,3.347885808094363,40.17462969713236,1,0,3,0,2,2.0,18.518907563025213,38.21428571428572,50.0,0.0,0.0,71.96000000000001,5.0,True,100.0,75.0,83.33333333333334,66.66666666666666,91.66666666666666,66.66666666666666
