year,team,schedule_team,wins,losses,ties,games,win_equivalent,is_actual_schedule
2018,The Big Gronkowski,Post Mahomes,4.0,9.0,0.0,13,4.0,False
2018,The Big Gronkowski,The Big Gronkowski,7.0,6.0,0.0,13,7.0,True
2018,The Big Gronkowski,ThreatLevelMidnight,5.0,8.0,0.0,13,5.0,False
2018,The Big Gronkowski,Uncle Rico,5.0,8.0,0.0,13,5.0,False
2018,The Big Gronkowski,Voldemort,3.0,10.0,0.0,13,3.0,False
2018,The Big Gronkowski,malle_dips_pouches,8.0,5.0,0.0,13,8.0,False
2018,ThreatLevelMidnight,Big Sack Jack,6.0,7.0,0.0,13,6.0,False
2018,ThreatLevelMidnight,Dillon Panthers,7.0,6.0,0.0,13,7.0,False
2018,ThreatLevelMidnight,Ginger FC,5.0,8.0,0.0,13,5.0,False
2018,ThreatLevelMidnight,Joe Mantegna,7.0,6.0,0.0,13,7.0,False
2018,ThreatLevelMidnight,Malle ❤️ 🐸,7.0,6.0,0.0,13,7.0,False
2018,ThreatLevelMidnight,Pop Lockett Drop it,6.0,7.0,0.0,13,6.0,False
2018,ThreatLevelMidnight,Post Mahomes,6.0,7.0,0.0,13,6.0,False
2018,ThreatLevelMidnight,The Big Gronkowski,7.0,6.0,0.0,13,7.0,False
2018,ThreatLevelMidnight,ThreatLevelMidnight,7.0,6.0,0.0,13,7.0,True
2018,ThreatLevelMidnight,Uncle Rico,9.0,4.0,0.0,13,9.0,False
2018,ThreatLevelMidnight,Voldemort,6.0,7.0,0.0,13,6.0,False
2018,ThreatLevelMidnight,malle_dips_pouches,8.0,5.0,0.0,13,8.0,False
2018,Uncle Rico,Big Sack Jack,5.0,8.0,0.0,13,5.0,False
2018,Uncle Rico,Dillon Panthers,3.0,10.0,0.0,13,3.0,False
2018,Uncle Rico,Ginger FC,3.0,10.0,0.0,13,3.0,False
2018,Uncle Rico,Joe Mantegna,5.0,8.0,0.0,13,5.0,False
2018,Uncle Rico,Malle ❤️ 🐸,6.0,7.0,0.0,13,6.0,False
2018,Uncle Rico,Pop Lockett Drop it,5.0,8.0,0.0,13,5.0,False
2018,Uncle Rico,Post Mahomes,3.0,10.0,0.0,13,3.0,False
2018,Uncle Rico,The Big Gronkowski,5.0,8.0,0.0,13,5.0,False
2018,Uncle Rico,ThreatLevelMidnight,6.0,7.0,0.0,13,6.0,False
2018,Uncle Rico,Uncle Rico,6.0,7.0,0.0,13,6.0,True
2018,Uncle Rico,Voldemort,7.0,6.0,0.0,13,7.0,False
2018,Uncle Rico,malle_dips_pouches,9.0,4.0,0.0,13,9.0,False
2018,Voldemort,Big Sack Jack,7.0,6.0,0.0,13,7.0,False
2018,Voldemort,Dillon Panthers,7.0,6.0,0.0,13,7.0,False
2018,Voldemort,Ginger FC,5.0,8.0,0.0,13,5.0,False
2018,Voldemort,Joe Mantegna,7.0,6.0,0.0,13,7.0,False
2018,Voldemort,Malle ❤️ 🐸,8.0,5.0,0.0,13,8.0,False
2018,Voldemort,Pop Lockett Drop it,8.0,5.0,0.0,13,8.0,False
2018,Voldemort,Post Mahomes,6.0,7.0,0.0,13,6.0,False
2018,Voldemort,The Big Gronkowski,9.0,4.0,0.0,13,9.0,False
2018,Voldemort,ThreatLevelMidnight,5.0,8.0,0.0,13,5.0,False
2018,Voldemort,Uncle Rico,8.0,5.0,0.0,13,8.0,False
2018,Voldemort,Voldemort,7.0,6.0,0.0,13,7.0,True
2018,Voldemort,malle_dips_pouches,8.0,5.0,0.0,13,8.0,False
2018,malle_dips_pouches,Big Sack Jack,6.0,7.0,0.0,13,6.0,False
2018,malle_dips_pouches,Dillon Panthers,6.0,7.0,0.0,13,6.0,False
2018,malle_dips_pouches,Ginger FC,5.0,8.0,0.0,13,5.0,False
