year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2019,6,Post Mahomes,malle_dips_pouches,112.8,103.32,Post Mahomes,malle_dips_pouches,9.480000000000004,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,12,Uncle Rico,Pop Lockett Drop it,112.9,55.4,Uncle Rico,Pop Lockett Drop it,57.50000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,7,ThreatLevelMidnight,Voldemort,113.42,68.04,ThreatLevelMidnight,Voldemort,45.379999999999995,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,3,Little Red Fournette,malle_dips_pouches,113.8,88.42,Post Mahomes,malle_dips_pouches,25.379999999999995,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2017,7,Malle ❤️ 🐸,PickUpYourBratsMalle,114.42,79.56,Malle ❤️ 🐸,ThreatLevelMidnight,34.86,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,5,Post Mahomes,Uncle Rico,114.6,94.98,Post Mahomes,Uncle Rico,19.61999999999999,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,12,Malle ❤️ 🐸,Buttermilk Puuump,115.96,90.46,Malle ❤️ 🐸,Buttermilk Puuump,25.5,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,2,Pop Lockett Drop it,Post Mahomes,117.5,76.06,Pop Lockett Drop it,Post Mahomes,41.44,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,8,PickUpYourBratsMalle,Joe Mantegna,117.96,95.72,ThreatLevelMidnight,Joe Mantegna,22.239999999999995,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2019,11,Ginger FC,Joe Mantegna,118.62,67.46,Ginger FC,Joe Mantegna,51.16000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2022,14,ThreatLevelMidnight,Post Mahomes,119.06,91.9,ThreatLevelMidnight,Post Mahomes,27.159999999999997,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,7,PickUpYourBratsMalle,Voldemort,119.34,111.38,ThreatLevelMidnight,Voldemort,7.960000000000008,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2024,4,Buttermilk Puuump,Post Mahomes,120.36,97.04,Buttermilk Puuump,Post Mahomes,23.319999999999993,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,9,Uncle Rico,You Better Park It,120.62,87.16,Uncle Rico,Buttermilk Puuump,33.46000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2018,3,Dillon Panthers,Big Sack Jack,120.84,106.58,Dillon Panthers,Big Sack Jack,14.260000000000005,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
2023,5,Post Mahomes,Pop Lockett Drop it,120.84,85.46,Post Mahomes,Pop Lockett Drop it,35.38000000000001,1,0,0,10.0,1.0,0.0,0.9090909090909091,2.0,12.0,-0.09090909090909094,0,0,0,0,0
