acquisition_id,year,canonical_team,player,player_position,acquisition_type,acquisition_datetime,drop_datetime,acquisition_week,candidate_weeks,roster_weeks,stint_points,primary_eligible,roster_match,roster_capture_rate
A00900,2021,Uncle Rico,Jordan Howard,,Free Agent,2021-11-10 08:33:00,2021-11-17 02:40:00,10,2,1,8.3,False,True,0.5
A00901,2021,Uncle Rico,Raiders,,Free Agent,2021-11-10 08:35:00,2021-11-17 06:09:00,10,2,0,0.0,False,False,0.0
A00902,2021,ThreatLevelMidnight,Rhamondre Stevenson,,Free Agent,2021-11-12 11:29:00,2021-12-12 11:52:00,10,5,4,45.8,False,True,0.8
A00903,2021,Malle ❤️ 🐸,Mike Davis,RB,Free Agent,2021-11-12 08:01:00,,10,5,5,37.0,True,True,1.0
A00904,2021,malle_dips_pouches,Zack Moss,RB,Waiver,2021-11-13 02:12:00,2021-11-28 10:49:00,10,3,2,9.2,True,True,0.6666666666666666
A00905,2021,Voldemort,Russell Gage Jr.,,Free Agent,2021-11-14 10:08:00,2021-11-15 14:20:00,10,1,0,0.0,False,False,0.0
A00906,2021,Patty Primetimes,T.Y. Hilton,,Free Agent,2021-11-14 10:19:00,,10,5,0,0.0,False,False,0.0
A00907,2021,Patty Primetimes,Jamison Crowder,WR,Free Agent,2021-11-14 10:20:00,,10,5,5,29.5,True,True,1.0
A00908,2021,Post Mahomes,Teddy Bridgewater,QB,Free Agent,2021-11-14 12:43:00,2021-11-16 07:22:00,10,2,1,9.04,True,True,0.5
A00909,2021,Voldemort,Jeff Wilson Jr.,,Free Agent,2021-11-15 14:20:00,2021-12-01 03:25:00,10,4,3,10.299999999999999,False,True,0.75
A00910,2021,ThreatLevelMidnight,Alexander Mattison,RB,Free Agent,2021-11-17 10:43:00,2021-11-21 10:14:00,11,1,0,0.0,True,False,0.0
A00911,2021,Ginger FC,Derek Carr,QB,Waiver,2021-11-17 02:40:00,,11,4,4,60.5,True,True,1.0
A00912,2021,Pop Lockett Drop it,Ravens,,Waiver,2021-11-17 02:40:00,2021-12-01 03:25:00,11,3,0,0.0,False,False,0.0
A00913,2021,Pop Lockett Drop it,Darnell Mooney,WR,Waiver,2021-11-17 02:40:00,2021-12-29 02:14:00,11,4,4,43.2,True,True,1.0
A00914,2021,Uncle Rico,D'Onta Foreman,RB,Waiver,2021-11-17 02:40:00,,11,4,4,27.4,True,True,1.0
A00915,2021,Uncle Rico,49ers,,Free Agent,2021-11-17 06:09:00,2021-12-05 10:03:00,11,3,0,0.0,False,False,0.0
