year,week,fantasy_team,opponent,score,opponent_score,canonical_team,canonical_opponent,margin,win,loss,tie,all_play_wins,all_play_losses,all_play_ties,expected_win_rate,weekly_score_rank,teams_that_week,bad_beat_value,bad_beat,severe_bad_beat,brutal_bad_beat,lucky_win,severe_lucky_win
2024,1,Ginger FC,Pop Lockett Drop it,105.9,142.16,Ginger FC,Pop Lockett Drop it,-36.25999999999999,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2018,11,Dillon Panthers,Post Mahomes,105.82,135.48,Dillon Panthers,Post Mahomes,-29.659999999999997,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2023,4,malle_dips_pouches,Voldemort,105.6,130.24,malle_dips_pouches,Voldemort,-24.640000000000015,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2019,9,Joe Mantegna,Pop Lockett Drop it,103.64,154.32,Joe Mantegna,Pop Lockett Drop it,-50.67999999999999,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2019,6,malle_dips_pouches,Post Mahomes,103.32,112.8,malle_dips_pouches,Post Mahomes,-9.480000000000004,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2025,6,Ginger FC,Patty Primetimes,103.06,108.6,Ginger FC,Patty Primetimes,-5.539999999999992,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2021,9,Uncle Rico,Patty Primetimes,102.94,110.76,Uncle Rico,Patty Primetimes,-7.820000000000007,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2022,14,malle_dips_pouches,Voldemort,102.22,114.38,malle_dips_pouches,Voldemort,-12.159999999999997,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2018,5,Joe Mantegna,Voldemort,100.92,122.04,Joe Mantegna,Voldemort,-21.120000000000005,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,4,Ginger FC,Little Red Fournette,100.46,106.42,Ginger FC,Post Mahomes,-5.960000000000008,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,7,The Big Gronkowski,Little Red Fournette,98.46,108.54,The Big Gronkowski,Post Mahomes,-10.080000000000013,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,13,PickUpYourBratsMalle,Little Red Fournette,97.58,100.96,ThreatLevelMidnight,Post Mahomes,-3.3799999999999955,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2022,3,The Big Gronkowski,Joe Mantegna,95.3,104.58,The Big Gronkowski,Joe Mantegna,-9.280000000000001,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2019,13,Uncle Rico,Malle ❤️ 🐸,95.24,107.6,Uncle Rico,Malle ❤️ 🐸,-12.36,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2019,4,malle_dips_pouches,ThreatLevelMidnight,93.68,104.1,malle_dips_pouches,ThreatLevelMidnight,-10.419999999999987,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2019,11,Uncle Rico,The Big Gronkowski,91.74,109.92,Uncle Rico,The Big Gronkowski,-18.180000000000007,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,12,Voldemort,Big Sack Jack,91.48,99.28,Voldemort,Big Sack Jack,-7.799999999999997,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,5,PickUpYourBratsMalle,Big Sack Jack,89.64,92.12,ThreatLevelMidnight,Big Sack Jack,-2.480000000000004,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,8,The Big Gronkowski,Ginger FC,89.58,125.78,The Big Gronkowski,Ginger FC,-36.2,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,9,Dillon Panthers,Pop Lockett Drop it,89.58,107.52,Dillon Panthers,Pop Lockett Drop it,-17.939999999999998,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2017,3,malle_dips_pouches,Little Red Fournette,88.42,113.8,malle_dips_pouches,Post Mahomes,-25.379999999999995,0,1,0,7.0,4.0,0.0,0.6363636363636364,5.0,12.0,0.6363636363636364,1,0,0,0,0
2022,8,Big Sack Jack,ThreatLevelMidnight,128.28,161.18,Big Sack Jack,ThreatLevelMidnight,-32.900000000000006,0,1,0,6.0,5.0,0.0,0.5454545454545454,6.0,12.0,0.5454545454545454,1,0,0,0,0
2020,2,Post Mahomes,Ginger FC,126.44,145.92,Post Mahomes,Ginger FC,-19.47999999999999,0,1,0,6.0,5.0,0.0,0.5454545454545454,6.0,12.0,0.5454545454545454,1,0,0,0,0
