year,week,fantasy_team,opponent,decision_type,player,player_position,lineup_slot,fantasy_points
2020,12,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,49ers - DEF,DEF,BN,17.0
2020,12,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,Antonio Brown,WR,BN,2.1
2020,12,The Big Gronkowski,Malle ❤️ 🐸,Should Have Started,Cam Newton,QB,BN,5.96
2020,12,ThreatLevelMidnight,Big Sack Jack,Should Have Benched,Joey Slye,K,K,10.0
2020,12,ThreatLevelMidnight,Big Sack Jack,Should Have Benched,Derek Carr,QB,QB,1.6
2020,12,ThreatLevelMidnight,Big Sack Jack,Should Have Started,Jason Myers,K,BN,12.0
2020,12,ThreatLevelMidnight,Big Sack Jack,Should Have Started,Ryan Tannehill,QB,BN,21.14
2020,12,Uncle Rico,Voldemort,Should Have Benched,Michael Thomas,WR,WR,7.1
2020,12,Uncle Rico,Voldemort,Should Have Started,Diontae Johnson,WR,BN,8.6
2020,12,malle_dips_pouches,Joe Mantegna,Should Have Benched,Darrell Henderson Jr.,RB,RB,1.9
2020,12,malle_dips_pouches,Joe Mantegna,Should Have Benched,Corey Davis,WR,W/R/T,8.5
2020,12,malle_dips_pouches,Joe Mantegna,Should Have Benched,DeAndre Hopkins,WR,WR,8.0
2020,12,malle_dips_pouches,Joe Mantegna,Should Have Started,Deebo Samuel Sr.,WR,BN,18.8
2020,12,malle_dips_pouches,Joe Mantegna,Should Have Started,Eric Ebron,TE,BN,8.9
2020,12,malle_dips_pouches,Joe Mantegna,Should Have Started,Le'Veon Bell,RB,BN,4.2
2020,13,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,Patrick Mahomes,QB,QB,21.32
2020,13,Big Sack Jack,Pop Lockett Drop it,Should Have Benched,James White,RB,W/R/T,1.6
2020,13,Big Sack Jack,Pop Lockett Drop it,Should Have Started,Philip Rivers,QB,BN,23.2
2020,13,Big Sack Jack,Pop Lockett Drop it,Should Have Started,Hollywood Brown,WR,BN,12.4
2020,13,Ginger FC,Post Mahomes,Should Have Benched,Brandin Cooks,WR,W/R/T,9.0
2020,13,Ginger FC,Post Mahomes,Should Have Benched,DeVante Parker,WR,WR,5.5
2020,13,Ginger FC,Post Mahomes,Should Have Started,Brandon Aiyuk,WR,BN,18.0
2020,13,Ginger FC,Post Mahomes,Should Have Started,Cole Beasley,WR,BN,23.5
2020,13,Joe Mantegna,Uncle Rico,Should Have Benched,Clyde Edwards-Helaire,RB,RB,0.0
2020,13,Joe Mantegna,Uncle Rico,Should Have Benched,Trey Burton,TE,TE,1.6
2020,13,Joe Mantegna,Uncle Rico,Should Have Started,Logan Thomas,TE,BN,20.3
2020,13,Joe Mantegna,Uncle Rico,Should Have Started,Mark Ingram II,RB,BN,3.4
2020,13,Malle ❤️ 🐸,Patty Primetimes,Should Have Benched,Kareem Hunt,RB,RB,7.2
2020,13,Malle ❤️ 🐸,Patty Primetimes,Should Have Benched,Jakobi Meyers,WR,WR,2.5
2020,13,Malle ❤️ 🐸,Patty Primetimes,Should Have Started,Damien Harris,RB,BN,10.0
2020,13,Malle ❤️ 🐸,Patty Primetimes,Should Have Started,Mike Gesicki,TE,BN,19.3
2020,13,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,D'Andre Swift,RB,RB,0.0
2020,13,Patty Primetimes,Malle ❤️ 🐸,Should Have Benched,Travis Fulgham,WR,WR,0.0
2020,13,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,Adrian Peterson,RB,BN,17.7
2020,13,Patty Primetimes,Malle ❤️ 🐸,Should Have Started,DJ Moore,WR,BN,0.0
2020,13,Post Mahomes,Ginger FC,Should Have Benched,Seahawks - DEF,DEF,DEF,9.0
2020,13,Post Mahomes,Ginger FC,Should Have Started,Colts - DEF,DEF,BN,12.0
2020,13,The Big Gronkowski,Voldemort,Should Have Benched,Matt Ryan,QB,QB,14.92
2020,13,The Big Gronkowski,Voldemort,Should Have Started,Jared Goff,QB,BN,26.14
2020,13,ThreatLevelMidnight,malle_dips_pouches,Should Have Benched,Raheem Mostert,RB,RB,4.8
2020,13,ThreatLevelMidnight,malle_dips_pouches,Should Have Started,Tyler Boyd,WR,BN,13.7
2020,13,Uncle Rico,Joe Mantegna,Should Have Benched,Antonio Gibson,RB,RB,1.4
2020,13,Uncle Rico,Joe Mantegna,Should Have Benched,Robert Tonyan,TE,TE,11.9
2020,13,Uncle Rico,Joe Mantegna,Should Have Started,Jamison Crowder,WR,BN,19.2
2020,13,Uncle Rico,Joe Mantegna,Should Have Started,Taysom Hill,TE,BN,27.58
2020,13,Voldemort,The Big Gronkowski,Should Have Benched,Terry McLaurin,WR,W/R/T,2.4
2020,13,Voldemort,The Big Gronkowski,Should Have Started,J.D. McKissic,RB,BN,12.8
2020,13,malle_dips_pouches,ThreatLevelMidnight,Should Have Benched,Myles Gaskin,RB,RB,13.1
2020,13,malle_dips_pouches,ThreatLevelMidnight,Should Have Benched,Hunter Henry,TE,TE,1.0
2020,13,malle_dips_pouches,ThreatLevelMidnight,Should Have Benched,Deebo Samuel Sr.,WR,WR,10.6
2020,13,malle_dips_pouches,ThreatLevelMidnight,Should Have Started,Darrell Henderson Jr.,RB,BN,14.4
