year,week,fantasy_team,opponent,actual_score,yahoo_team_score,optimal_score,points_left_on_bench,lineup_efficiency_pct,avoidable_start_count,missed_start_count,should_have_benched,should_have_started
2025,5,Ginger FC,Uncle Rico,86.74,86.74,97.84,11.1,88.65,2,2,Travis Etienne Jr. (RB) | Chris Olave (WR),DeVonta Smith (WR) | Michael Pittman Jr. (WR)
2025,5,Joe Mantegna,Voldemort,121.9,121.9,156.24,34.34,78.02,3,3,Kyler Murray (QB) | Chase Brown (RB) | Alvin Kamara (RB),David Montgomery (RB) | Justin Fields (QB) | Michael Carter (RB)
2025,5,Malle ❤️ 🐸,malle_dips_pouches,119.1,119.1,122.3,3.2,97.38,1,1,Jakobi Meyers (WR),Josh Downs (WR)
2025,5,Patty Primetimes,The Big Gronkowski,66.12,66.12,96.06,29.94,68.83,2,2,Drake Maye (QB) | Jameson Williams (WR),T.J. Hockenson (TE) | C.J. Stroud (QB)
2025,5,Pop Lockett Drop it,ThreatLevelMidnight,118.46,118.46,124.66,6.2,95.03,2,2,Colts - DEF (DEF) | Malik Washington (WR),Troy Franklin (WR) | Kareem Hunt (DEF)
2025,5,Post Mahomes,Buttermilk Puuump,122.32,122.32,122.32,0.0,100.0,0,0,,
2025,5,The Big Gronkowski,Patty Primetimes,107.12,107.12,122.82,15.7,87.22,2,2,James Cook III (RB) | Darius Slayton (WR),Keon Coleman (WR) | J.K. Dobbins (RB)
2025,5,ThreatLevelMidnight,Pop Lockett Drop it,141.46,141.46,141.86,0.4,99.72,1,1,Tony Pollard (RB),Rhamondre Stevenson (RB)
2025,5,Uncle Rico,Ginger FC,154.78,154.78,163.58,8.8,94.62,1,1,Jerry Jeudy (WR),Zach Charbonnet (RB)
2025,5,Voldemort,Joe Mantegna,122.88,122.88,126.88,4.0,96.85,1,1,Quentin Johnston (WR),Cooper Kupp (WR)
2025,5,malle_dips_pouches,Malle ❤️ 🐸,89.34,89.34,89.34,0.0,100.0,0,0,,
2025,6,Buttermilk Puuump,ThreatLevelMidnight,133.54,133.54,142.74,9.2,93.55,2,2,Quinshon Judkins (RB) | Marvin Harrison Jr. (WR),DJ Moore (WR) | Tyler Allgeier (RB)
2025,6,Ginger FC,Patty Primetimes,108.6,108.6,109.08,0.48,99.56,1,1,Josh Allen (QB),Caleb Williams (QB)
2025,6,Joe Mantegna,Pop Lockett Drop it,81.36,81.36,105.76,24.4,76.93,3,3,RJ Harvey (RB) | Jauan Jennings (WR) | Zay Flowers (WR),Tucker Kraft (TE) | Wan'Dale Robinson (WR) | Tyjae Spears (RB)
2025,6,Malle ❤️ 🐸,Uncle Rico,101.8,101.8,108.1,6.3,94.17,2,2,Jerry Jeudy (WR) | Emeka Egbuka (WR),Joshua Palmer (WR) | Tre Tucker (WR)
2025,6,Patty Primetimes,Ginger FC,103.06,103.06,104.06,1.0,99.04,1,1,Davante Adams (WR),DeVonta Smith (WR)
2025,6,Pop Lockett Drop it,Joe Mantegna,76.74,76.74,76.84,0.1,99.87,1,1,Elic Ayomanor (WR),Malik Washington (WR)
2025,6,Post Mahomes,malle_dips_pouches,92.82,92.82,112.72,19.9,82.35,2,2,Stefon Diggs (WR) | Calvin Ridley (WR),Josh Downs (WR) | Zach Ertz (TE)
2025,6,The Big Gronkowski,Voldemort,99.84,99.84,104.74,4.9,95.32,1,1,Dak Prescott (QB),Drake Maye (QB)
2025,6,ThreatLevelMidnight,Buttermilk Puuump,102.42,102.42,106.52,4.1,96.15,1,1,Kyle Pitts Sr. (TE),Evan Engram (TE)
2025,6,Uncle Rico,Malle ❤️ 🐸,139.84,139.84,139.84,0.0,100.0,1,1,Rashid Shaheed (WR),Khalil Shakir (WR)
2025,6,Voldemort,The Big Gronkowski,72.0,72.0,78.4,6.4,91.84,2,2,Jaylen Warren (RB) | Puka Nacua (WR),Michael Carter (RB) | Alvin Kamara (RB)
2025,6,malle_dips_pouches,Post Mahomes,132.68,132.68,152.18,19.5,87.19,2,2,Jahmyr Gibbs (RB) | Garrett Wilson (WR),Kimani Vidal (RB) | Romeo Doubs (WR)
2025,7,Buttermilk Puuump,Joe Mantegna,111.44,111.44,113.46,2.02,98.22,1,1,Jared Goff (QB),Jordan Love (QB)
2025,7,Ginger FC,Malle ❤️ 🐸,165.7,165.7,165.7,0.0,100.0,0,0,,
2025,7,Joe Mantegna,Buttermilk Puuump,151.86,151.86,157.96,6.1,96.14,2,2,Jacory Croskey-Merritt (RB) | Quentin Johnston (WR),Tucker Kraft (TE) | Tyjae Spears (RB)
2025,7,Malle ❤️ 🐸,Ginger FC,86.04,86.04,110.94,24.9,77.56,3,3,Dallas Goedert (TE) | Rashid Shaheed (WR) | Brian Thomas Jr. (WR),Jordan Addison (WR) | Dalton Schultz (TE) | Chris Rodriguez Jr. (RB)
2025,7,Patty Primetimes,Voldemort,100.34,100.34,106.94,6.6,93.83,1,1,Alvin Kamara (RB),Chase Brown (RB)
2025,7,Pop Lockett Drop it,The Big Gronkowski,138.98,138.98,158.28,19.3,87.81,2,2,Kenneth Walker III (RB) | Rome Odunze (WR),Tee Higgins (WR) | Troy Franklin (WR)
2025,7,Post Mahomes,Uncle Rico,145.02,145.02,166.62,21.6,87.04,2,2,Jerry Jeudy (WR) | Jaylen Waddle (WR),Emeka Egbuka (WR) | Zach Charbonnet (RB)
2025,7,The Big Gronkowski,Pop Lockett Drop it,99.36,99.36,110.36,11.0,90.03,2,2,Jameson Williams (WR) | Nico Collins (WR),Hollywood Brown (WR) | T.J. Hockenson (TE)
2025,7,ThreatLevelMidnight,malle_dips_pouches,57.74,57.74,76.54,18.8,75.44,3,3,Sam LaPorta (TE) | Calvin Ridley (WR) | Jakobi Meyers (WR),Mike Evans (WR) | Tyrone Tracy Jr. (RB) | Zach Ertz (TE)
2025,7,Uncle Rico,Post Mahomes,124.54,124.54,128.04,3.5,97.27,1,1,Kyren Williams (RB),Woody Marks (RB)
2025,7,Voldemort,Patty Primetimes,79.18,79.18,82.18,3.0,96.35,1,1,Cowboys - DEF (DEF),Texans - DEF (DEF)
2025,7,malle_dips_pouches,ThreatLevelMidnight,125.42,125.42,125.42,0.0,100.0,0,0,,
2025,8,Buttermilk Puuump,The Big Gronkowski,79.02,79.02,103.68,24.66,76.22,1,1,Dak Prescott (QB),Drake Maye (QB)
2025,8,Ginger FC,Voldemort,130.68,130.68,130.68,0.0,100.0,0,0,,
2025,8,Joe Mantegna,malle_dips_pouches,83.66,83.66,83.66,0.0,100.0,0,0,,
2025,8,Malle ❤️ 🐸,Post Mahomes,97.62,97.62,97.72,0.1,99.9,1,1,Rashid Shaheed (WR),Jordan Addison (WR)
2025,8,Patty Primetimes,Pop Lockett Drop it,97.72,97.72,137.22,39.5,71.21,2,2,Vikings - DEF (DEF) | Jordan Mason (RB),Kareem Hunt (RB) | Troy Franklin (DEF)
2025,8,Pop Lockett Drop it,Patty Primetimes,169.62,169.62,174.02,4.4,97.47,1,1,Courtland Sutton (WR),J.K. Dobbins (RB)
2025,8,Post Mahomes,Malle ❤️ 🐸,114.96,114.96,114.96,0.0,100.0,0,0,,
