year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,margin,is_playoffs
2022,13,Joe Mantegna,8-6-0 | 10th,107.5,107.1,Pop Lockett Drop it,4-10-0 | 12th,102.76,105.15,Joe Mantegna,Pop Lockett Drop it,4.74,False
2022,13,Malle ❤️ 🐸,4-10-0 | 8th,130.6,105.88,Voldemort,10-4-0 | 3rd,134.72,122.2,Voldemort,Malle ❤️ 🐸,4.12,False
2022,13,Post Mahomes,7-7-0 | 9th,124.54,114.99,Ginger FC,8-6-0 | 5th,106.5,110.41,Post Mahomes,Ginger FC,18.04,False
2022,13,The Big Gronkowski,9-5-0 | 2nd,80.62,115.23,Big Sack Jack,10-4-0 | 4th,147.24,107.76,Big Sack Jack,The Big Gronkowski,66.62,False
2022,13,ThreatLevelMidnight,8-6-0 | 6th,88.2,105.68,Patty Primetimes,3-11-0 | 11th,87.44,110.29,ThreatLevelMidnight,Patty Primetimes,0.76,False
2022,13,Uncle Rico,5-9-0 | 7th,128.12,116.96,malle_dips_pouches,8-6-0 | 1st,93.44,125.23,Uncle Rico,malle_dips_pouches,34.68,False
2022,14,Malle ❤️ 🐸,4-10-0 | 8th,94.98,108.27,Big Sack Jack,10-4-0 | 4th,113.26,114.66,Big Sack Jack,Malle ❤️ 🐸,18.28,False
2022,14,Pop Lockett Drop it,4-10-0 | 12th,70.76,99.95,Ginger FC,8-6-0 | 5th,93.56,110.09,Ginger FC,Pop Lockett Drop it,22.8,False
2022,14,The Big Gronkowski,9-5-0 | 2nd,102.2,114.27,Joe Mantegna,8-6-0 | 10th,97.38,99.75,The Big Gronkowski,Joe Mantegna,4.82,False
2022,14,ThreatLevelMidnight,8-6-0 | 6th,119.06,115.89,Post Mahomes,7-7-0 | 9th,91.9,106.49,ThreatLevelMidnight,Post Mahomes,27.16,False
2022,14,Uncle Rico,5-9-0 | 7th,135.58,113.03,Patty Primetimes,3-11-0 | 11th,95.9,97.88,Uncle Rico,Patty Primetimes,39.68,False
2022,14,Voldemort,10-4-0 | 3rd,114.38,127.36,malle_dips_pouches,8-6-0 | 1st,102.22,119.78,Voldemort,malle_dips_pouches,12.16,False
