trade_id,year,date,player,source_team,destination_team,position,position_source,attribution_status,first_week_with_acquiring_team,last_week_with_acquiring_team,roster_weeks,starts,bench_weeks,ir_weeks,fantasy_points,started_points,bench_points,projected_points,points_per_roster_week,points_per_start,replacement_p25,replacement_p40,expected_replacement_started_points,raw_starter_value,starter_value,expected_replacement_bench_points,raw_bench_value,bench_value,trade_value,start_value_per_start,starter_points_vs_replacement_pct
2020-172,2020,2020-10-23T03:25:12-04:00,Noah Fant,Post Mahomes,Patty Primetimes,TE,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,2,5,0,39.8,13.0,26.8,50.79,5.69,6.5,3.7,5.3,10.6,2.4,2.4,18.5,8.3,2.08,4.48,1.2,22.64
2020-172,2020,2020-10-23T03:25:12-04:00,Phillip Lindsay,Post Mahomes,Patty Primetimes,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,7.0,13.0,7,2,5,0,38.3,10.2,28.1,43.78,5.47,5.1,6.08,8.98,17.96,-7.76,0.0,30.38,-2.27,0.0,0.0,-3.88,-43.21
2020-182,2020,2020-10-27T04:45:36-04:00,Austin Ekeler,Patty Primetimes,Uncle Rico,RB,historical_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,2,2,2,27.2,27.2,0.0,29.51,4.53,13.6,6.08,8.98,17.96,9.24,9.24,12.15,-12.15,0.0,9.24,4.62,51.45
2020-182,2020,2020-10-27T04:45:36-04:00,Christian Kirk,Patty Primetimes,Uncle Rico,WR,historical_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,0,6,0,36.6,0.0,36.6,40.93,6.1,0.0,7.1,10.2,0.0,0.0,0.0,42.6,-6.0,0.0,0.0,0.0,0.0
2020-182,2020,2020-10-27T04:45:36-04:00,Lamar Jackson,Patty Primetimes,Uncle Rico,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,5,1,0,116.1,116.1,0.0,74.64,19.35,23.22,18.38,22.7,113.5,2.6,2.6,18.38,-18.38,0.0,2.6,0.52,2.29
2020-182,2020,2020-10-27T04:45:36-04:00,D'Andre Swift,Uncle Rico,Patty Primetimes,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,5,1,0,38.4,38.4,0.0,21.35,6.4,7.68,6.08,8.98,44.9,-6.5,0.0,6.08,-6.08,0.0,0.0,-1.3,-14.48
2020-182,2020,2020-10-27T04:45:36-04:00,Josh Allen,Uncle Rico,Patty Primetimes,QB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,4,2,0,144.9,102.9,42.0,103.09,24.15,25.73,18.38,22.7,90.8,12.1,12.1,36.76,5.24,1.31,13.41,3.03,13.33
2020-182,2020,2020-10-27T04:45:36-04:00,Travis Fulgham,Uncle Rico,Patty Primetimes,WR,acquired_stint_fixed_slot,matched_post_trade_roster_stint,8.0,13.0,6,5,1,0,22.0,22.0,0.0,53.31,3.67,4.4,7.1,10.2,51.0,-29.0,0.0,7.1,-7.1,0.0,0.0,-5.8,-56.86
2020-263,2020,2020-11-13T03:25:33-05:00,Darrell Henderson Jr.,Pop Lockett Drop it,malle_dips_pouches,RB,acquired_stint_fixed_slot,matched_post_trade_roster_stint,10.0,13.0,4,3,1,0,28.0,13.6,14.4,39.17,7.0,4.53,6.08,8.98,26.94,-13.34,0.0,6.08,8.32,2.08,2.08,-4.45,-49.52
2020-263,2020,2020-11-13T03:25:33-05:00,Devin Singletary,malle_dips_pouches,Pop Lockett Drop it,RB,historical_fixed_slot,matched_post_trade_roster_stint,10.0,13.0,4,0,4,0,21.0,0.0,21.0,22.75,5.25,0.0,6.08,8.98,0.0,0.0,0.0,24.3,-3.3,0.0,0.0,0.0,0.0
