year,week,team,opponent,points_for,points_against,result,margin
2019,10,Joe Mantegna,Post Mahomes,103.22,90.26,W,12.959999999999994
2019,10,Malle ❤️ 🐸,Big Sack Jack,92.78,112.42,L,-19.64
2019,10,Patty Primetimes,Pop Lockett Drop it,120.42,84.98,W,35.44
2019,10,Pop Lockett Drop it,Patty Primetimes,84.98,120.42,L,-35.44
2019,10,Post Mahomes,Joe Mantegna,90.26,103.22,L,-12.959999999999994
2019,10,The Big Gronkowski,malle_dips_pouches,79.38,79.32,W,0.060000000000002274
2019,10,ThreatLevelMidnight,Uncle Rico,108.02,134.74,L,-26.720000000000013
2019,10,Uncle Rico,ThreatLevelMidnight,134.74,108.02,W,26.720000000000013
2019,10,Voldemort,Ginger FC,136.34,67.08,W,69.26
2019,10,malle_dips_pouches,The Big Gronkowski,79.32,79.38,L,-0.060000000000002274
2019,11,Big Sack Jack,Voldemort,60.34,107.08,L,-46.739999999999995
2019,11,Ginger FC,Joe Mantegna,118.62,67.46,W,51.16000000000001
2019,11,Joe Mantegna,Ginger FC,67.46,118.62,L,-51.16000000000001
2019,11,Malle ❤️ 🐸,malle_dips_pouches,74.56,89.82,L,-15.259999999999991
2019,11,Patty Primetimes,Post Mahomes,132.48,75.26,W,57.219999999999985
2019,11,Pop Lockett Drop it,ThreatLevelMidnight,78.62,67.88,W,10.740000000000009
2019,11,Post Mahomes,Patty Primetimes,75.26,132.48,L,-57.219999999999985
2019,11,The Big Gronkowski,Uncle Rico,109.92,91.74,W,18.180000000000007
2019,11,ThreatLevelMidnight,Pop Lockett Drop it,67.88,78.62,L,-10.740000000000009
2019,11,Uncle Rico,The Big Gronkowski,91.74,109.92,L,-18.180000000000007
2019,11,Voldemort,Big Sack Jack,107.08,60.34,W,46.739999999999995
2019,11,malle_dips_pouches,Malle ❤️ 🐸,89.82,74.56,W,15.259999999999991
2019,12,Big Sack Jack,Joe Mantegna,93.0,81.64,W,11.36
2019,12,Ginger FC,Patty Primetimes,85.34,107.76,L,-22.42
