year,week,team_1,team_1_record,team_1_score,team_1_projected,team_2,team_2_record,team_2_score,team_2_projected,winner,loser,result,margin,is_playoffs
2019,3,The Big Gronkowski,6-7-0 | 9th,135.98,102.54,Joe Mantegna,4-9-0 | 10th,102.96,100.14,The Big Gronkowski,Joe Mantegna,team_1,33.02,False
2019,3,Malle ❤️ 🐸,4-9-0 | 8th,77.84,100.81,Voldemort,12-1-0 | 1st,132.06,111.1,Voldemort,Malle ❤️ 🐸,team_2,54.22,False
2019,3,Patty Primetimes,10-3-0 | 2nd,106.18,111.19,malle_dips_pouches,4-9-0 | 12th,103.2,102.95,Patty Primetimes,malle_dips_pouches,team_1,2.98,False
2019,3,ThreatLevelMidnight,7-6-0 | 3rd,93.12,108.78,Big Sack Jack,7-6-0 | 6th,85.64,98.05,ThreatLevelMidnight,Big Sack Jack,team_1,7.48,False
2019,3,Pop Lockett Drop it,10-3-0 | 5th,117.34,108.42,Ginger FC,4-9-0 | 7th,93.1,102.07,Pop Lockett Drop it,Ginger FC,team_1,24.24,False
2019,4,Uncle Rico,2-11-0 | 11th,81.42,98.11,Voldemort,12-1-0 | 1st,93.6,110.17,Voldemort,Uncle Rico,team_2,12.18,False
2019,4,The Big Gronkowski,6-7-0 | 9th,89.2,108.62,Patty Primetimes,10-3-0 | 2nd,130.98,113.93,Patty Primetimes,The Big Gronkowski,team_2,41.78,False
2019,4,Malle ❤️ 🐸,4-9-0 | 8th,73.12,93.28,Joe Mantegna,4-9-0 | 10th,87.9,97.49,Joe Mantegna,Malle ❤️ 🐸,team_2,14.78,False
2019,4,ThreatLevelMidnight,7-6-0 | 3rd,104.1,97.41,malle_dips_pouches,4-9-0 | 12th,93.68,106.03,ThreatLevelMidnight,malle_dips_pouches,team_1,10.42,False
2019,4,Pop Lockett Drop it,10-3-0 | 5th,110.4,96.72,Big Sack Jack,7-6-0 | 6th,107.7,92.89,Pop Lockett Drop it,Big Sack Jack,team_1,2.7,False
2019,4,Post Mahomes,8-5-0 | 4th,81.4,100.42,Ginger FC,4-9-0 | 7th,62.54,87.81,Post Mahomes,Ginger FC,team_1,18.86,False
2019,5,Uncle Rico,2-11-0 | 11th,90.36,91.14,Ginger FC,4-9-0 | 7th,115.46,92.75,Ginger FC,Uncle Rico,team_2,25.1,False
2019,5,The Big Gronkowski,6-7-0 | 9th,86.56,100.37,ThreatLevelMidnight,7-6-0 | 3rd,120.44,101.97,ThreatLevelMidnight,The Big Gronkowski,team_2,33.88,False
2019,5,Malle ❤️ 🐸,4-9-0 | 8th,130.52,95.62,Patty Primetimes,10-3-0 | 2nd,105.54,103.14,Malle ❤️ 🐸,Patty Primetimes,team_1,24.98,False
2019,5,Voldemort,12-1-0 | 1st,105.44,110.26,Joe Mantegna,4-9-0 | 10th,64.86,98.97,Voldemort,Joe Mantegna,team_1,40.58,False
2019,5,Pop Lockett Drop it,10-3-0 | 5th,131.92,92.53,malle_dips_pouches,4-9-0 | 12th,68.32,99.81,Pop Lockett Drop it,malle_dips_pouches,team_1,63.6,False
2019,5,Post Mahomes,8-5-0 | 4th,153.04,109.23,Big Sack Jack,7-6-0 | 6th,134.12,100.29,Post Mahomes,Big Sack Jack,team_1,18.92,False
2019,6,Uncle Rico,2-11-0 | 11th,61.2,83.74,Joe Mantegna,4-9-0 | 10th,109.14,91.87,Joe Mantegna,Uncle Rico,team_2,47.94,False
2019,6,The Big Gronkowski,6-7-0 | 9th,55.0,96.98,Pop Lockett Drop it,10-3-0 | 5th,100.0,89.56,Pop Lockett Drop it,The Big Gronkowski,team_2,45.0,False
2019,6,Malle ❤️ 🐸,4-9-0 | 8th,83.62,100.02,ThreatLevelMidnight,7-6-0 | 3rd,81.62,104.11,Malle ❤️ 🐸,ThreatLevelMidnight,team_1,2.0,False
2019,6,Voldemort,12-1-0 | 1st,114.12,109.76,Patty Primetimes,10-3-0 | 2nd,106.44,113.36,Voldemort,Patty Primetimes,team_1,7.68,False
2019,6,Post Mahomes,8-5-0 | 4th,112.8,106.82,malle_dips_pouches,4-9-0 | 12th,103.32,95.89,Post Mahomes,malle_dips_pouches,team_1,9.48,False
